ID,Title,Year,Rating,Rank
8ff1c1d4-bd6f-4647-aade-330375db69b6,A Trip to the Moon,1902,100,1
40bce645-7fb8-4584-be9c-e5d894759b1f,Intolerance,1916,97,2
5c4f0a57-84d4-4c7d-9378-11e5be1703b5,Broken Blossoms,1919,95,3
f5b9d713-001a-4b3b-a08e-7a92b410911c,The Cabinet of Dr. Caligari,1920,96,4
db3bab21-c852-4059-9823-55d6e3d951fa,The Kid,1921,100,5
2c1efa6d-3c5e-4d4b-be9e-9dca6c631182,The Phantom Carriage,1921,100,6
732469e1-1f3d-4064-b5b0-d3c6b12520e1,Nanook of the North,1922,100,7
bdabd52e-0bdc-4196-9d2b-9470039a15d9,Nosferatu,1922,97,8
45cf02e5-3458-45e8-a0ea-16a7753a56da,Our Hospitality,1923,97,9
e09519b1-cf26-4b67-ad1b-5353b0631e47,Safety Last!,1923,97,10
12a86284-aaa5-423a-84ca-af72c72b78b7,Greed,1924,96,11
ef38d798-4195-48ba-9811-1cded73c4f72,"Sherlock, Jr.",1924,93,12
95952533-5490-4d86-8118-caa48c8f093d,The Last Laugh,1924,100,13
565105f2-e712-4fb9-b338-da425543c6a6,The Navigator,1924,100,14
2ef4f43d-473e-4fea-bafc-787872b1a14a,Battleship Potemkin,1925,100,15
7f5838d0-79ad-400f-84f8-e1454f445b86,Seven Chances,1925,94,16
52a5be9e-28b8-4b95-8d85-4c017a7bff3e,The Gold Rush,1925,100,17
701e18a2-e63d-46f1-9877-036f211594b9,The Phantom of the Opera,1925,90,18
2632dc96-e597-4322-94eb-b85dcc5643ec,Faust,1926,91,19
fbffacc3-80a6-4e8c-925c-2604fcc37d1d,The General,1926,92,20
9f2401ef-49e5-4591-b285-5dcc6eac05ce,Metropolis,1927,97,21
bd5d9a22-cbc1-4684-bb9f-c9f06121adf9,Sunrise: A Song of Two Humans,1927,98,22
996f9935-23ab-47fc-9d40-98074d43cad1,The Lodger: A Story of the London Fog,1927,96,23
c58bb760-d072-40b3-ad4d-ba5bd307bbbd,"Steamboat Bill, Jr.",1928,100,24
5a736606-8938-434e-a19a-c8da237c0e19,The Cameraman,1928,100,25
49dd2201-d84f-4975-8bad-b3a34c1f797b,The Circus,1928,97,26
27a1872c-eceb-4896-a2bb-4dc04c3288b7,The Passion of Joan of Arc,1928,98,27
b43d055e-0f9b-407e-b88e-8cb7810fcfe5,Man With a Movie Camera,1929,98,28
62833890-03fd-4fc9-a421-7fab1b8983a6,Pandora's Box,1929,93,29
5209ee35-d56c-4f79-813f-1dbb9c73c64a,Un Chien Andalou,1929,100,30
a4598620-7153-4e55-a50b-8f2b2ba2a405,All Quiet on the Western Front,1930,98,31
48b2dbf8-51fa-4265-8d8a-468ad2aa73a4,Animal Crackers,1930,96,32
568266ff-6a6b-4b87-acd0-ac5c8d681f2a,The Blue Angel,1930,96,33
452ae6fe-156d-4b77-b71a-01d1740f478c,City Lights,1931,96,34
9efbd4f0-098d-4d6d-973b-63fa41e792fe,Dr. Jekyll and Mr. Hyde,1931,91,35
105ee491-3778-4f73-8d9a-3b22a3b3b91b,Dracula,1931,94,36
bd3447a7-2057-4a60-bdc9-0bb62ac846cd,Frankenstein,1931,100,37
b6ae6781-a3d0-48f8-ba79-c252b064f326,M,1931,100,38
81d3ca81-b6a4-45d7-8daa-38abad8f2ff6,Monkey Business,1931,89,39
55634994-e517-43cf-a004-170b56a43c10,The Public Enemy,1931,100,40
6cdbda85-a555-4e2e-9bd6-91ebd580a161,Freaks,1932,95,41
aaf22690-ea9b-4c18-89ee-4d18370dcfc1,Horse Feathers,1932,97,42
a23b6d8f-b9a9-4052-a3ef-2dfa57641e59,I Am a Fugitive From a Chain Gang,1932,96,43
514c3101-993e-4162-b5bb-e91115b0c711,Scarface,1932,98,44
5cc71198-1b87-4b3f-acbf-3ce62d5c0b59,The Old Dark House,1932,97,45
720eabd8-a5ab-41ad-a4ce-5afeb7c74bf1,Trouble in Paradise,1932,89,46
fa57de7f-58be-4306-a640-2e660e404c64,Vampyr,1932,98,47
594f39dd-7783-4fbc-a612-ff413631779c,42nd Street,1933,96,48
4f8f8bff-9b5c-47ec-8a2f-99dccd5b7336,Duck Soup,1933,91,49
3ac5691c-f768-468a-a516-d4fa867136fb,King Kong,1933,99,50
8f1cc236-c319-4130-bc2b-b085a54dcc25,The Invisible Man,1933,94,51
ea17ade3-088f-49ff-998a-919c4a78b605,It Happened One Night,1934,99,52
59c50886-148b-435c-adca-14a00545a1e2,L'atalante,1934,100,53
40dc728c-bc02-486b-8517-dc3b77183e9a,The Thin Man,1934,98,54
59bc497a-d944-4352-8251-a4a614bed9ba,A Night at the Opera,1935,97,55
d16232a2-f393-47b0-b0f2-5bbe57fc39c0,Bride of Frankenstein,1935,98,56
a8771bc1-82d2-43bc-9f70-f0bde358495f,Captain Blood,1935,100,57
3a2d4cb6-3a8a-402b-9c0e-311180b1040a,Mutiny on the Bounty,1935,93,58
19a03327-858e-4ca9-83c0-142911fa2f71,The 39 Steps,1935,96,59
4b9f4559-d0ed-414d-92dc-7ba13b662718,Top Hat,1935,100,60
d0f2e01e-b758-4535-8c94-39475d301ed4,After the Thin Man,1936,100,61
955379c9-79ea-4d19-9dd3-efe2fad1125c,Fury,1936,100,62
c0d2dfd8-d81d-4cb9-8d3a-35ea862c3774,Modern Times,1936,98,63
6c0e50db-2584-425c-9cb8-082305effe4b,Mr. Deeds Goes to Town,1936,91,64
95a2baec-544a-4a50-8f31-3d8886deb679,My Man Godfrey,1936,97,65
a80031cc-a9bc-401f-87ea-594b9db07f6f,Swing Time,1936,97,66
763cf75e-a15c-4e21-a4d2-eeb5afc46a75,The Petrified Forest,1936,100,67
ab946257-323c-49c9-b440-319709fef839,A Day at the Races,1937,94,68
f15b61c2-f44b-4449-95c1-27060f52a68e,Grand Illusion,1937,97,69
6aa543ce-a0d8-4549-ad9b-396f5f870ae1,Lost Horizon,1937,93,70
c92c01f3-3c35-456a-b1d6-4ddb0cee4a3e,Snow White and the Seven Dwarfs,1937,98,71
4d25dcc8-9fbc-4911-bd03-e0d3534cc785,The Awful Truth,1937,93,72
92fae86b-f864-43cb-9923-0a709286797c,Alexander Nevsky,1938,96,73
9ad34647-f122-4197-aaae-1abf159171ba,Angels With Dirty Faces,1938,100,74
9784bb1b-dd6e-496d-8d59-43e39d6f9dcc,Bringing Up Baby,1938,94,75
e0368df6-6981-4dcb-856d-d98e3c4bffff,Holiday,1938,100,76
e92d408d-8539-4f12-9d25-9a4a5b883546,The Adventures of Robin Hood,1938,100,77
ade9cbe3-2094-4c1c-a344-c28483be5a9f,The Lady Vanishes,1938,98,78
de097cdb-1ea5-4893-be38-4212f4686b4d,You Can't Take It With You,1938,95,79
5e1c00de-52e3-4849-b818-664a72ddb470,Destry Rides Again,1939,96,80
ded2565c-8a17-45c6-8953-b9d6454a5451,Gone With the Wind,1939,90,81
1e280f2e-c4a9-4be9-9dd8-7eb02c12b362,Mr. Smith Goes to Washington,1939,85,82
ce02e618-9d9f-45e9-8da5-3a6fd91633e6,Ninotchka,1939,97,83
54df5a5d-c0dd-492f-b6b5-3f8fe1aa181b,Only Angels Have Wings,1939,100,84
72b8830a-cb2c-4ced-b9ea-d25cb0b316fc,Stagecoach,1939,100,85
827c8de3-0dd5-4d35-82e3-fe0f8ec7493f,The Hunchback of Notre Dame,1939,94,86
a39e93cd-19c0-4c03-bd1a-3ad7d173b7b6,The Roaring Twenties,1939,100,87
63e3319b-fdb3-4b82-abe3-d2040d0e34ec,The Rules of the Game,1939,96,88
feb58987-cc47-46b9-8449-4757cd5e6a31,The Wizard of Oz,1939,98,89
bc9d7a31-652f-4191-a58f-40ce71ec942f,The Women,1939,94,90
e8c4f4ea-cb24-48eb-98b2-7ef257c1590e,Wuthering Heights,1939,96,91
180d7b69-2f04-4735-b967-b1f15e669efc,Fantasia,1940,95,92
3a79c26e-a04c-435c-b98f-6c281150d136,Foreign Correspondent,1940,95,93
a2dc4bdc-4c54-4384-817e-b9e7699a644b,His Girl Friday,1940,99,94
54500cce-d153-43dd-938c-108c18c2c551,Pinocchio,1940,100,95
c200145c-63c4-4faa-9c79-fc0cd5b0682e,Rebecca,1940,100,96
0b18f532-1dbf-4336-b22a-cfeec80299f4,The Grapes of Wrath,1940,100,97
83ca11a7-b5aa-4403-8760-fe46c2d7d98b,The Great Dictator,1940,92,98
235400bb-b496-41d4-b4d8-0e7560106afb,The Letter,1940,100,99
4dfcb2d3-8c43-43ec-8749-4c21d83024d8,The Philadelphia Story,1940,100,100
4c9c716b-3bc7-4617-8698-a53e2e454345,The Shop Around the Corner,1940,100,101
3e8187c3-8786-432b-b5f2-8abd93992ebc,The Thief of Bagdad,1940,100,102
450c1e92-0a5f-49eb-ad0c-cc5abaa41c96,Ball of Fire,1941,100,103
363b6474-a313-4d90-a391-0d7020cae304,Citizen Kane,1941,99,104
5328732d-d5af-4ac8-9953-68a48c0e99dc,Dumbo,1941,98,105
3440947f-927a-4182-afa6-0f785cc5caf0,High Sierra,1941,92,106
d2e296fe-7d91-44d1-ae1c-908eec762a83,Sullivan's Travels,1941,100,107
9b477bd8-b12a-478d-9506-1ddeaf14eac9,The Lady Eve,1941,100,108
adca5141-a91b-41b1-b504-06efcecc99ce,The Little Foxes,1941,100,109
6fcf9929-a833-42d5-816d-b1a036e39a3b,The Maltese Falcon,1941,100,110
5edf6dad-e821-4560-a1f1-129f2f0ba02b,Casablanca,1942,99,111
f7874b3c-4477-42cd-9b67-b4e7beb387cd,Cat People,1942,92,112
33276e2a-b71c-42a8-8191-36e578b83f43,"Now, Voyager",1942,91,113
e7dad881-c6d2-4389-adcd-f59a96341f98,The Magnificent Ambersons,1942,89,114
aad5416c-56d2-48e0-9107-0035b3d8ee21,The Palm Beach Story,1942,97,115
9a76e61b-5dea-430f-831d-dd29c2bbd12d,To Be or Not to Be,1942,96,116
b483298a-81bd-40d4-9b57-8c4b790f2e88,Day of Wrath,1943,100,117
b9af1532-0934-46c1-a9d2-c707ba20db19,I Walked With a Zombie,1943,85,118
f516e36d-350d-4a12-8695-2eda9b5ee0f4,Shadow of a Doubt,1943,100,119
66847407-fd16-4f23-9669-ada3ce431de8,The Life and Death of Colonel Blimp,1943,97,120
7ba70837-6005-469a-bf6e-b609b10de5fd,The Ox-Bow Incident,1943,91,121
93a6655b-b875-44a2-970b-faddc2cf19f1,Arsenic and Old Lace,1944,85,122
41789fb0-ddfb-4523-8ea0-88b17a0f5f17,Double Indemnity,1944,97,123
23210fec-6bde-419f-812b-c9bf6502dbb6,Laura,1944,100,124
9baa4ebb-33db-4ca9-a2ae-7659149f50a4,Lifeboat,1944,93,125
3d9981fb-d89f-43bc-8433-f79f3751874e,Meet Me in St. Louis,1944,100,126
9394a77f-8d88-4559-8066-8138a6810634,"Murder, My Sweet",1944,94,127
17007535-c500-4cb2-8ec2-a5801be7440a,The Woman in the Window,1944,88,128
753ff6fc-6538-4500-aec7-09dcf9536934,To Have and Have Not,1944,97,129
752736d5-f23c-4fb5-8d00-bfed0ebc034c,And Then There Were None,1945,100,130
4739584b-cf52-49ee-ae31-874ae9e3d464,Children of Paradise,1945,98,131
0f6ed3f1-0ad8-4e39-bfd7-9cfd0747fa3e,Dead of Night,1945,93,132
2ce690c1-04ee-49b1-86f5-b0b4eaeacd0c,Detour,1945,98,133
a1ec17f6-2e0c-4388-a2ed-466509274bbc,Leave Her to Heaven,1945,85,134
96f913d7-e537-47d7-af42-9131ef10dc36,"Rome, Open City",1945,100,135
4fd37b9e-2760-432b-a153-cfaffac3fc06,Scarlet Street,1945,100,136
8d6accef-9d27-467f-b92d-87f85990e9cd,The Lost Weekend,1945,97,137
df53b7ae-f204-49fe-b9b3-c138ade23ad6,A Matter of Life and Death,1946,97,138
371517db-beaa-42cd-b6b1-36f41634a9cf,Beauty and the Beast,1946,95,139
b969b5dc-511f-4515-8341-3a12810e704e,Gilda,1946,90,140
50604254-78b4-441e-bcef-f052563ff63e,Great Expectations,1946,100,141
313955c9-6885-4727-a1b9-c5c69e8029e3,It's a Wonderful Life,1946,94,142
3700bb10-376b-42ba-bcc7-f7818d2a770e,My Darling Clementine,1946,100,143
1823b0d8-2d1c-424b-b8b7-d50984a8a37f,Notorious,1946,96,144
78233cc0-8169-42ba-8ce3-8df87611dc3b,The Best Years of Our Lives,1946,98,145
1004872b-caa4-4380-9cc6-f217d6340724,The Big Sleep,1946,97,146
0fff95a6-13e7-4506-aef3-90ef7eadc01b,The Killers,1946,100,147
ebc8c73f-45b8-472f-9693-8ce265dbf38d,The Postman Always Rings Twice,1946,89,148
c510f904-2d43-4b7b-ba11-554c395c8d9e,The Stranger,1946,97,149
c777e874-463e-45c5-a006-b74cd8ae11bf,Black Narcissus,1947,100,150
99fa0fad-8c1f-440e-9512-84ced9e593cd,Dark Passage,1947,90,151
f7b0e18c-fe6f-4155-85e7-eec3918a03c3,Miracle on 34th Street,1947,96,152
60559c38-d1d0-403e-b300-8f015357da95,Monsieur Verdoux,1947,97,153
81a2182f-3210-49ee-beb8-94e17327308a,Out of the Past,1947,93,154
c92d71d3-a216-489d-a0ac-92a404fe7c59,The Ghost and Mrs. Muir,1947,100,155
49c1846d-591e-4046-970e-c68f93f5a8a0,Bicycle Thieves,1948,99,156
06303b43-17ee-4b08-b292-a5794c5e2dca,Drunken Angel,1948,94,157
5248cc54-edb2-48dc-9e20-1092809d8eff,Fort Apache,1948,100,158
c7e34a0f-a98b-4a80-ad88-42aa55d9a29f,Germany Year Zero,1948,96,159
35d69dbe-b6c6-49fb-b3e0-250f13742b0c,Hamlet,1948,95,160
3be7347d-8acb-4fe1-b571-b33304c5fedf,Key Largo,1948,97,161
b8d45133-4c63-4246-b92d-95ee7248fe42,Letter From an Unknown Woman,1948,100,162
b23cfbc2-a538-4ca9-af60-67d5906aa393,Oliver Twist,1948,100,163
3b790568-e3e6-4c7a-b71e-6c8c319ec204,Red River,1948,100,164
74d17148-b337-4ba7-9d99-341c9b40431d,Rope,1948,94,165
d68006ac-00ba-4c24-bbf9-eedd1e2cbaa4,The Red Shoes,1948,97,166
57b933da-cefa-4db9-a01d-05fe54f8a342,The Treasure of the Sierra Madre,1948,100,167
b16d8fbb-186f-4446-8567-31a022ba3e7b,Adam's Rib,1949,96,168
59c97851-f299-45f5-87ae-ac59e3847ea0,All the King's Men,1949,97,169
bb4c4c6a-eac7-488c-be6e-5505d2d59e11,Kind Hearts and Coronets,1949,100,170
c74843c5-8978-4419-b0de-1adde9b22395,Late Spring,1949,100,171
e517812d-8dd2-45b8-a5df-c84e1e1e70c0,On the Town,1949,93,172
fe8c52a9-1425-45f5-b625-e8379303668c,She Wore a Yellow Ribbon,1949,92,173
d8435b6f-71a2-4dba-987b-c97de1729c89,Stray Dog,1949,95,174
1708400a-430c-4582-8bbf-8c8c297115ac,The Heiress,1949,100,175
1dcb2813-5d8e-448a-93cf-41e980b4fb46,The Third Man,1949,99,176
7967f909-5366-4ab7-b148-ca75b23a537f,Twelve O'Clock High,1949,96,177
85cf3fc0-db83-4e2c-abd1-c308411c317e,White Heat,1949,97,178
6ac35e87-f910-41b9-ab66-7f6d0ba982a6,All About Eve,1950,99,179
0ac6da60-1e69-4f5c-a587-83a21b58e24c,Born Yesterday,1950,97,180
e6aa9f5e-252c-465d-aa5a-8c2d6618fad0,Gun Crazy,1950,90,181
3751459e-1791-4611-a3de-fc27e490ab3b,In a Lonely Place,1950,96,182
4856adb1-0685-4dbf-8582-4010b181551d,Los Olvidados,1950,91,183
83bcda66-fd0c-49c8-98da-8f5c41c7585a,Orpheus,1950,97,184
3d135634-76cc-4e8a-b16a-247e1136deae,Rashomon,1950,98,185
da5c21b6-683d-4faa-83e9-24cd267f1e70,Sunset Boulevard,1950,98,186
0b3fc123-60f2-47eb-9b36-f01f39986187,The Asphalt Jungle,1950,97,187
725ddbf9-0b40-49b1-97a1-8ddb0e779266,The Gunfighter,1950,100,188
eb0e199a-8eca-4c7e-b273-bc3a49566847,Where the Sidewalk Ends,1950,100,189
67f90459-b5e1-4157-86fe-334bcae2c754,Winchester '73,1950,100,190
5aba7789-9bca-45af-a6e2-cf838ef38ee2,A Streetcar Named Desire,1951,97,191
2e854a73-f4bc-4982-b119-35ea37371281,An American in Paris,1951,96,192
1576b349-6183-4f9d-bedb-fab73d582ddb,Diary of a Country Priest,1951,95,193
1acf1947-087a-41e1-a6f2-ec6f4fdfe48c,Early Summer,1951,100,194
31392f4a-d606-4037-8c52-9a954f102e64,Othello,1951,88,195
903422dd-5d96-4586-b604-ad17db1ef7ff,Strangers on a Train,1951,98,196
c3f0b9bd-5880-401a-a291-2eb9acfd3d02,The African Queen,1951,96,197
3e92a898-7300-4f0a-a92d-2aaee7f01843,The Day the Earth Stood Still,1951,95,198
d8d22bc3-872c-4ada-ad7b-9ace4e2db173,The Lavender Hill Mob,1951,100,199
76b42aaa-4076-4397-a2a7-a59c408f18d1,Forbidden Games,1952,100,200
9911dc92-3d2b-4013-9879-3545879c8583,High Noon,1952,95,201
c5f96c68-1cba-4a75-a9b1-206808a9622e,Ikiru,1952,98,202
7c97e1a5-82aa-4588-a7c9-367ccedf1dd4,Limelight,1952,97,203
6600195a-6cc3-4139-9730-4b9eebab9356,Singin' in the Rain,1952,100,204
5bf4bd09-931d-419d-9367-62f7c1e7d34b,The Bad and the Beautiful,1952,79,205
41bac3c3-2d54-4fe3-b636-c5d4033c63c5,Umberto D.,1952,97,206
514ac24d-40b5-4de5-a225-960f2733268a,I Vitelloni,1953,100,207
fadb79a2-3bd7-4ff0-8eaa-48adb0b65e5a,Mr. Hulot's Holiday,1953,100,208
c1f7ddca-c604-4228-bd6e-76a89aa179e0,Roman Holiday,1953,97,209
039ae340-5e5e-4b25-87c4-a3ce03e7365f,Shane,1953,97,210
e99c1b44-b216-4086-a98a-c35ebc309953,Stalag 17,1953,97,211
b35bfe05-bfd2-415f-bd9d-7043c0306a75,The Band Wagon,1953,100,212
a505279c-1a3c-4593-a36c-97447d576bac,The Big Heat,1953,100,213
44471fe6-d152-4136-88ee-d201120e3d48,The Earrings of Madame De...,1953,97,214
3baeffe0-a558-417c-bebe-112790fbe117,The Naked Spur,1953,100,215
6d6cf35b-45c5-45b4-be90-db4a25401429,The Wages of Fear,1953,100,216
426ce659-b33e-454d-826f-45840a9e3074,Tokyo Story,1953,100,217
2250eccf-b855-444d-bd71-636fd9ee9a39,Ugetsu,1953,100,218
383f9d16-c172-4946-9d08-61b27a4453b5,A Star Is Born,1954,98,219
13e46274-5550-4538-86ac-33c52d95ac12,Godzilla,1954,93,220
5e67ab65-339e-49fa-bb59-9364dfebfd5b,Johnny Guitar,1954,94,221
b8b496db-2046-491d-b13a-8ec2b11b0c83,Journey to Italy,1954,96,222
fe6b75d7-727e-403c-b008-ba77311acbe1,La Strada,1954,97,223
bd2ff47c-ef78-4958-8991-af02016e1009,On the Waterfront,1954,99,224
f9bcc5f6-d99e-4cb6-b3a9-35f37016d23a,Rear Window,1954,98,225
ea082a73-5ea7-4668-9cc3-4b93bd0cbe1b,Sabrina,1954,93,226
5b15b4c3-c4c3-45af-98f7-053a033c972f,Sansho the Bailiff,1954,100,227
c908200d-301c-49d1-8c6c-3e74757388b9,Seven Samurai,1954,100,228
6116cf30-7ba9-40c2-b4fb-7c7feb27dc00,The Caine Mutiny,1954,92,229
935a87ba-a44e-45f0-af98-2c520fac26a2,All That Heaven Allows,1955,91,230
26d689b0-db8d-429a-baeb-25221ece24a1,Bad Day at Black Rock,1955,97,231
3963b7ff-139d-4382-8090-726640272b19,Diabolique,1955,96,232
ebf416f8-31ef-4bdc-9834-c16da6fe0e42,Kiss Me Deadly,1955,98,233
d2270b03-29d0-4088-be88-66567ac9a294,Marty,1955,96,234
04e14f94-60ad-44be-8ca7-1ba2e2eaaf57,Mister Roberts,1955,93,235
36071422-5e99-43e1-b1ee-4e1b4e44fa65,Night and Fog,1955,100,236
5d491a5d-af63-4ad5-afb0-528164bfba05,Ordet,1955,100,237
7621d830-4ed8-43a5-8386-59930212ba14,Pather Panchali,1955,98,238
da7399f8-20df-49b7-9cb8-8df53c6a4777,Rebel Without a Cause,1955,93,239
11d7fb59-c8a7-4617-9d6b-005299d66723,Rififi,1955,92,240
e27b2743-b59a-47cb-8cdb-83c99c7e0b33,Smiles of a Summer Night,1955,100,241
d8ad545b-729e-439d-8cdc-4bad2954bf26,The Court Jester,1955,97,242
7db885c4-4f8e-4aea-b3bb-fc7a4cc63b96,The Dam Busters,1955,100,243
bd5833bc-a0ae-4e88-8530-d36374f30132,The Ladykillers,1955,100,244
118ba170-c5b8-4eb1-8287-21bde920b4bb,The Man From Laramie,1955,100,245
00e8374c-8a98-4039-9e4d-1f1ef3975e0c,The Night of the Hunter,1955,95,246
19a4d915-7b75-4bc5-a86f-c756ca4c8a0d,A Man Escaped,1956,100,247
8fbccd0b-7df1-407d-b401-1b4008651082,Aparajito,1956,96,248
64d75257-7b44-470d-a257-dbe1a076ed8b,Bob Le Flambeur,1956,97,249
65623938-ffea-42c6-a517-57efef80cb6a,Forbidden Planet,1956,96,250
7edfdc2c-99d8-4ac3-ab91-8a43af1906e2,Giant,1956,91,251
